,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,Emotion
23,23,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
24,24,26.0,0.902899980545044,"politik, baru, rakyat, johor, nak, dah, lebih, jadi, aku, indonesia",orang politik baik paham melulu kait sensitif kudu lebih,positive
25,25,34.0,0.5985999703407288,"milu, ikut, alas, tunda, barat, takut, pertama, aman, pki, iri",banyak wa boost sinetron rusia vs ukrania akan amin perang boleh genosida satu sisi warga negara biasa hilang keluarga rumah pekerjaanya semua wajar krn urus politik satu negara wa boost sinetron hipocrite,negative
26,26,20.0,0.49459999799728394,"ni, besi, politik, milu, bila, indonesia, tunda, awal, macam, kuat",fangay israhell si paling sarjana politik sama hipokrit fifa uefa,negative
27,27,22.0,0.939300000667572,"politik, sepakbola, pkb, sama, tak, kab, bawa, ga, rusia, pernah",politik lima apip ketua dpc pkb kab fraksi pkb kab dprd kab kuningan fraksi pkb,negative
28,28,20.0,0.8920999765396118,"ni, besi, politik, milu, bila, indonesia, tunda, awal, macam, kuat",kasus beda manusia bla bla bla bla campuradukkan,negative
29,29,22.0,0.6761999726295471,"politik, sepakbola, pkb, sama, tak, kab, bawa, ga, rusia, pernah",sepakbola politik blablabla yakan,negative
30,30,34.0,0.902899980545044,"milu, ikut, alas, tunda, barat, takut, pertama, aman, pki, iri",rilis resmi roman abramovich serah wewenang penuh yayasan amal,negative
31,31,26.0,0.5291000008583069,"politik, baru, rakyat, johor, nak, dah, lebih, jadi, aku, indonesia",billboards je cakap politik kotor,negative
32,32,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
33,33,23.0,0.9429000020027161,"politik, ni, kuasa, tak, dah, nak, orang, kan, la, sekarang",so malaysians sekarang ni dah la huru hara pasal politik kuasa tak kan nak orang luar,negative
34,34,22.0,0.939300000667572,"politik, sepakbola, pkb, sama, tak, kab, bawa, ga, rusia, pernah",politik lima apip ketua dpc pkb kab fraksi pkb kab dprd kab kuningan fraksi pkb,negative
35,35,20.0,0.8920999765396118,"ni, besi, politik, milu, bila, indonesia, tunda, awal, macam, kuat",kasus beda manusia bla bla bla bla campuradukkan,negative
36,36,5.0,0.9488999843597412,"politik, bukan, partai, milu, orang, tuju, ga, tunda, sama, tebar",kemarin jgn campurin urus bola sama politik skrg bilang bola sama politik ga tiba skrg peduli sama manusia,negative
37,37,5.0,0.8057000041007996,"politik, bukan, partai, milu, orang, tuju, ga, tunda, sama, tebar",ganyambung bola gabole campur sama politik,negative
38,38,29.0,0.9429000020027161,"buat, kata, makin, tinggi, sbb, bagai, kes, of, sop, uni",uni cancel buat majlis konvo kata sbb kes makin tinggi despite of preventable measure sop bagai,negative
39,39,24.0,0.4424999952316284,"erick, menteri, jokowi, thohir, satu, muda, bumn, politik, nu, rakyat",politik praktis kayak gmna,negative
40,40,3.0,0.3714999854564667,"politik, jadi, baru, ketua, omong, jg, udh, sbg, blm, lembaga",elite partai duga tunggang hasil survei puas publik mulus agenda tunda milu banyak,positive
41,41,16.0,0.9190000295639038,"uefa, krn, langgar, atur, tdk, bawa2, denda, celtic, th, kibar",th celtic denda uefa krn suporter kibar langgar atur tdk bawa2,negative
42,42,26.0,0.9429000020027161,"politik, baru, rakyat, johor, nak, dah, lebih, jadi, aku, indonesia",rakyat johor dah mula cakap nak jadi mb nafas baru politik harap baru rakyat johor je,negative
43,43,27.0,0.48260000348091125,"politik, agama, tipu, daya, guna, ajar, bukan, juang, selamat, rakyat",ponakan prabowo minta dapat sutan adil tunjuk sekjen,negative
44,44,9.0,0.8611999750137329,"politik, buat, bumn, jadi, si, utk, jgn, sehat, pd, main",nih biar cacat dukung gus yaqut,negative
45,45,11.0,0.5023999810218811,"politik, jadi, rusia, paling, tahun, pimpin, mau, semua, si, agama",ukraina paham percaya diri rasa terima masuk nato bela amerika makanya berani sikap ugal2an rusia nyata cuma jadi bahan main politik doang,positive
46,46,20.0,0.9305999875068665,"ni, besi, politik, milu, bila, indonesia, tunda, awal, macam, kuat",awal husnuzon angin kuat bila tengok ni besi tebal bengkok macam ni besi,negative
47,47,3.0,0.218299999833107,"politik, jadi, baru, ketua, omong, jg, udh, sbg, blm, lembaga",rt ibu chusnul negara minimal layan urus sehat didik lapang,negative
48,48,2.0,0.9305999875068665,"politik, cari, kalau, tukar, ideologi, pasang, level, in, sembang, ajak",contoh gila luber histeria massal lukis artis perancis henri matisse rencana ada maret,positive
49,49,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
50,50,13.0,0.3476000130176544,"n, gera, dukung, klo, kuat, besar, moga, makin, byk, patut",dukung gus,negative
51,51,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
52,52,11.0,0.9117000102996826,"politik, jadi, rusia, paling, tahun, pimpin, mau, semua, si, agama",rt warga palestina nyanyi lagu bangsa ingat isra daerah bab yerusalem,negative
53,53,12.0,0.878600001335144,"politik, bela, jilat, catat, khianat, dusta, keliling, sanjung, kata, mau",catat bela dusta keliling jilat sanjung khianat,negative
54,54,11.0,0.46889999508857727,"politik, jadi, rusia, paling, tahun, pimpin, mau, semua, si, agama",sepakbola jangan hubung politik statement organisasi mafia beberapa tahun lalu,negative
55,55,11.0,0.9253000020980835,"politik, jadi, rusia, paling, tahun, pimpin, mau, semua, si, agama",mungkin slh satu nya krn tum parpol milu minta mrk klh populer sm,negative
56,56,23.0,0.7750999927520752,"politik, ni, kuasa, tak, dah, nak, orang, kan, la, sekarang",goblok bgt fifa atur sendiri buat politik gak intervensi fifa n sepakbola,negative
57,57,22.0,0.6761999726295471,"politik, sepakbola, pkb, sama, tak, kab, bawa, ga, rusia, pernah",sepakbola politik,negative
58,58,10.0,0.757099986076355,"politik, punya, partai, apa, tahun, amerika, ilmu, rakyat, pesimis, jadi",utoh politik butuh nato,negative
59,59,22.0,0.8402000069618225,"politik, sepakbola, pkb, sama, tak, kab, bawa, ga, rusia, pernah",dap tak layak beri tempat politik negara samun perompak tipu zina liwat,positive
60,60,2.0,0.9305999875068665,"politik, cari, kalau, tukar, ideologi, pasang, level, in, sembang, ajak",contoh gila luber histeria massal lukis artis perancis henri matisse rencana ada maret,positive
61,61,31.0,0.42160001397132874,"partai, tunda, pbnu, lebih, jadi, pilih, milu, hasil, besar, harap",wawancara jelang bebas asrun aku syukur bahkan kasus seret balik jeruji jadi ajar tapak hidup lebih baik,negative
62,62,3.0,0.939300000667572,"politik, jadi, baru, ketua, omong, jg, udh, sbg, blm, lembaga",sedang tular media sosial klip ucap ahli parlimen seputeh yb esa kok dakwa pihak polis,negative
63,63,5.0,0.6664000153541565,"politik, bukan, partai, milu, orang, tuju, ga, tunda, sama, tebar",manusia tameng ujung2nya tetap politik lah memang bela manusia ga double standar sedih ukraina invasi sedih palestine jajah,negative
64,64,16.0,0.6866999864578247,"uefa, krn, langgar, atur, tdk, bawa2, denda, celtic, th, kibar",kl gw sendiri lihat ad ad tim siap juara krn politik balas budi selenggara liga tim bahas pd twit tim jg bs jd juara krn utang budi tim lg sih krg paham ane cuma curiga krn latar belakang milik,negative
65,65,19.0,0.902899980545044,"politik, tunda, milu, tak, rakyat, elite, alas, hak, rampas, kalau",tolak milu tunda kalau elite politik lewat rakyat revolusi,negative
66,66,1.0,0.4189999997615814,"politik, milik, bukan, seni, kerja, putus, mampu, industri, negara, terorisme",kemarin pas israel palestine bilang sepakbola campur politik sekarang ganti apa karna sama barat,negative
67,67,21.0,0.9253000020980835,"politik, partai, kata, negara, cari, buat, jadi, kalau, sepakbola, main",peribahan informal bs anggap pilih konstitusional ubah krn banyak faktor darurat dominasi politik,negative
68,68,11.0,0.902899980545044,"politik, jadi, rusia, paling, tahun, pimpin, mau, semua, si, agama",main orang2 selalu tunggu tokoh2 nu politik maupun hancur,positive
69,69,23.0,0.6445000171661377,"politik, ni, kuasa, tak, dah, nak, orang, kan, la, sekarang",muda dah jadi hny umur rezim tamat lah karir politik lu cecer msh ingat orang,negative
70,70,19.0,0.9117000102996826,"politik, tunda, milu, tak, rakyat, elite, alas, hak, rampas, kalau",perempuan baru masuk politik buta tak lihat sejarah laku jahat,positive
71,71,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
72,72,31.0,0.9351999759674072,"partai, tunda, pbnu, lebih, jadi, pilih, milu, hasil, besar, harap",harap besar kyai yahya pilih ketua pbnu lebih des beliau nyata pbnu gak jadi,negative
73,73,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
74,74,26.0,0.4731999933719635,"politik, baru, rakyat, johor, nak, dah, lebih, jadi, aku, indonesia",politik jenis apa bangku mana nak duduk jadi isu,positive
75,75,20.0,0.539900004863739,"ni, besi, politik, milu, bila, indonesia, tunda, awal, macam, kuat",akhir lihat jelas wajah fifa lihat jelas wadah politik bubar fifa,negative
76,76,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
77,77,23.0,0.6333000063896179,"politik, ni, kuasa, tak, dah, nak, orang, kan, la, sekarang",jare sepakbola ra entuk nyampur politik,negative
78,78,20.0,0.4675999879837036,"ni, besi, politik, milu, bila, indonesia, tunda, awal, macam, kuat",pda isu ni awal faham mungkin ni langkah politik,positive
79,79,26.0,0.47380000352859497,"politik, baru, rakyat, johor, nak, dah, lebih, jadi, aku, indonesia",politik jenis apa bangku mana nak duduk jadi isu,positive
80,80,32.0,0.9351999759674072,"politik, jabat, presiden, panjang, masa, partai, jumlah, usul, pimpin, tahun",usul panjang masa jabat presiden embus jumlah pimpin partai politik bahas sejak tahun lalu,positive
81,81,11.0,0.34929999709129333,"politik, jadi, rusia, paling, tahun, pimpin, mau, semua, si, agama",jangan tanggung2 masuk ranah politik buruk ada fokus bikin film karya dunia bangsa indonesia bangga dgn,negative
82,82,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
83,83,29.0,0.9429000020027161,"buat, kata, makin, tinggi, sbb, bagai, kes, of, sop, uni",uni cancel buat majlis konvo kata sbb kes makin tinggi despite of preventable measure sop bagai,negative
84,84,33.0,0.632099986076355,"politik, milu, tunda, ketua, masuk, akal, pbnu, sayang, presiden, jadi",buru daftar banser tiket ludes,negative
85,85,15.0,0.9639999866485596,"politik, indonesia, cari, buat, kalau, jadi, bagai, mau, ni, baik",jkw orang baik yakin kias cerdik bagai ular tulus bagai merpati politik buat pak jkw ular hati tetap tulus buat rakyat indonesia singkir ego dukung terus,negative
86,86,3.0,0.31450000405311584,"politik, jadi, baru, ketua, omong, jg, udh, sbg, blm, lembaga",apa urus fifa uefa konflik negara kira politik olahraga sepakbola,negative
87,87,22.0,0.9117000102996826,"politik, sepakbola, pkb, sama, tak, kab, bawa, ga, rusia, pernah",politik bawa olah raga diskriminasi rusia klub2 rusia keluar seluruh,negative
88,88,3.0,0.4596000015735626,"politik, jadi, baru, ketua, omong, jg, udh, sbg, blm, lembaga",rakyat gembira lanskap politik macam wajar orang pegang pelbagai jawat lantik jadi pertua,negative
89,89,12.0,0.878600001335144,"politik, bela, jilat, catat, khianat, dusta, keliling, sanjung, kata, mau",catat bela dusta keliling jilat sanjung khianat,negative
90,90,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
91,91,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
92,92,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
93,93,26.0,0.902899980545044,"politik, baru, rakyat, johor, nak, dah, lebih, jadi, aku, indonesia",orang politik baik paham melulu kait sensitif kudu lebih,positive
94,94,11.0,0.4032999873161316,"politik, jadi, rusia, paling, tahun, pimpin, mau, semua, si, agama",tuju kan memang semua org bebas jadi presiden tak peduli,negative
95,95,12.0,0.4034000039100647,"politik, bela, jilat, catat, khianat, dusta, keliling, sanjung, kata, mau",seperti cair dana utk ormas perintah lantar suara pilpres undur ormas kok ngatur2 sptbpartai politik aja dah numpang hidup pl perintah pakai uang rakyat,negative
96,96,26.0,0.605400025844574,"politik, baru, rakyat, johor, nak, dah, lebih, jadi, aku, indonesia",fifa ngga mau politik,positive
97,97,1.0,0.902899980545044,"politik, milik, bukan, seni, kerja, putus, mampu, industri, negara, terorisme",jangan lewat ngopi petang live pukul wib kait tunda,negative
98,98,5.0,0.4408999979496002,"politik, bukan, partai, milu, orang, tuju, ga, tunda, sama, tebar",sangat tuju putus utk nge ban rusia kecewa aja ga dulu kaya gin jawab politik bukan penting sayaa,negative
99,99,22.0,0.3212999999523163,"politik, sepakbola, pkb, sama, tak, kab, bawa, ga, rusia, pernah",standar ganda bilang politik jangan masuk palestina serang diem bae gilir kaum pelangi langsung pasang atribut lapang,negative
100,100,20.0,0.9190000295639038,"ni, besi, politik, milu, bila, indonesia, tunda, awal, macam, kuat",sekretaris jendral majelis ulama indonesia amirsyah tambun tolak usul tunda milu,negative
101,101,3.0,0.8033000230789185,"politik, jadi, baru, ketua, omong, jg, udh, sbg, blm, lembaga",bukan dulu atur politik sanding olahraga kalau ga salah,negative
102,102,32.0,0.8313000202178955,"politik, jabat, presiden, panjang, masa, partai, jumlah, usul, pimpin, tahun",buah ironi dulu dukung reformasi salah satu masa jabat presiden terlalu lama sekarang muncul wacana panjang masa jabat presiden panjang masa jabat presiden tolak,negative
103,103,18.0,0.9028000235557556,"politik, usul, cak, imin, konyol, ismail, zulhas, milu, ni, buat",jelasin min olahraga jgn bawa politik balik skrg russia,negative
104,104,19.0,0.902899980545044,"politik, tunda, milu, tak, rakyat, elite, alas, hak, rampas, kalau",tolak milu tunda kalau elite politik lewat rakyat revolusi,negative
105,105,20.0,0.4943999946117401,"ni, besi, politik, milu, bila, indonesia, tunda, awal, macam, kuat",fangay israhell si paling sarjana politik sama hipokrit fifa uefa,negative
106,106,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
107,107,22.0,0.8402000069618225,"politik, sepakbola, pkb, sama, tak, kab, bawa, ga, rusia, pernah",dap tak layak beri tempat politik negara samun perompak tipu zina liwat,positive
108,108,3.0,0.9253000020980835,"politik, jadi, baru, ketua, omong, jg, udh, sbg, blm, lembaga",donk satu konteks kan kata politik sama olahraga gak campur murni hypocrisy,negative
109,109,3.0,0.49810001254081726,"politik, jadi, baru, ketua, omong, jg, udh, sbg, blm, lembaga",kritik gus yahya negasi ucap libat politik,positive
110,110,33.0,0.838100016117096,"politik, milu, tunda, ketua, masuk, akal, pbnu, sayang, presiden, jadi",amal politik guncang politik nasional,negative
111,111,5.0,0.5254999995231628,"politik, bukan, partai, milu, orang, tuju, ga, tunda, sama, tebar",kata sepakbola mesti lepas politik sekarang koq sanksi pdhl team russia gk sangkut paut sama tindak putin mana sanksi buat amerika krn dah invasi banyak negara,negative
112,112,11.0,0.8611999750137329,"politik, jadi, rusia, paling, tahun, pimpin, mau, semua, si, agama",sara ses selalu jd alat politik propaganda mujarab,negative
113,113,13.0,0.939300000667572,"n, gera, dukung, klo, kuat, besar, moga, makin, byk, patut",klo betul gera patut dukung n moga gera makin besar n kuat byk saudara2 kt,negative
114,114,5.0,0.51419997215271,"politik, bukan, partai, milu, orang, tuju, ga, tunda, sama, tebar",kecewa,negative
115,115,3.0,0.4790000021457672,"politik, jadi, baru, ketua, omong, jg, udh, sbg, blm, lembaga",fifa kok politik,negative
116,116,22.0,0.9190000295639038,"politik, sepakbola, pkb, sama, tak, kab, bawa, ga, rusia, pernah",konflik sama israel palestina ga pernah sampe klub israel diskualifikasi sepakbola,positive
117,117,3.0,0.4334999918937683,"politik, jadi, baru, ketua, omong, jg, udh, sbg, blm, lembaga",lah beneran ikut campur urus politik dong dulu pas israel sama palestina fifa gak respon sedikit kocak,positive
118,118,15.0,0.6886000037193298,"politik, indonesia, cari, buat, kalau, jadi, bagai, mau, ni, baik",arya fernandes teliti csis kritik upaya jumlah partai politik dorong tunda pilih umum,negative
119,119,22.0,0.9028000235557556,"politik, sepakbola, pkb, sama, tak, kab, bawa, ga, rusia, pernah",fifa selalu teriak sepakbola jauh penting politik trus apa,positive
120,120,10.0,0.4745999872684479,"politik, punya, partai, apa, tahun, amerika, ilmu, rakyat, pesimis, jadi",tinggal partai politik dengar gelombang besar rakyat hapus aju uji,negative
121,121,3.0,0.3668999969959259,"politik, jadi, baru, ketua, omong, jg, udh, sbg, blm, lembaga",urus politik d bawa2 sepakbola apa kabar israel,positive
122,122,13.0,0.4900999963283539,"n, gera, dukung, klo, kuat, besar, moga, makin, byk, patut",putus makin yakin semua politik rugi rakyat hmm au ah,negative
123,123,21.0,0.2903999984264374,"politik, partai, kata, negara, cari, buat, jadi, kalau, sepakbola, main",negara justru lbh mampu harga potensi anies sbg pimpin masa depan sini pimpin kelas dunia mlh jegal hny krn beda pandang politik kelas mediocre sanjung setinggi langit gimana negara mau maju,negative
124,124,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
125,125,12.0,0.5202000141143799,"politik, bela, jilat, catat, khianat, dusta, keliling, sanjung, kata, mau",inggal partai politik dengar gelombang besar rakyat hapus aju uji materi mk bharap teman2 parpol utama parpol nonparlemen segera aju uji materi mk krn juang mnghapus ambang batas,negative
126,126,32.0,0.271699994802475,"politik, jabat, presiden, panjang, masa, partai, jumlah, usul, pimpin, tahun",nah poin utama mau gw bahas biadab israel soal sikap fifa bias timpang pandang tema politik sepak bola ilmu twitter tbtb nimbrung panjang lebar pdhl out of context kesi,positive
127,127,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
128,128,3.0,0.5260000228881836,"politik, jadi, baru, ketua, omong, jg, udh, sbg, blm, lembaga",trump kata tindak putin kait ukraina sangat jenius cerdas,positive
129,129,3.0,0.4562999904155731,"politik, jadi, baru, ketua, omong, jg, udh, sbg, blm, lembaga",fifa uefa langgar negara campur urus politik sepak bola,negative
130,130,22.0,0.9117000102996826,"politik, sepakbola, pkb, sama, tak, kab, bawa, ga, rusia, pernah",politik bawa olah raga diskriminasi rusia klub2 rusia keluar seluruh,negative
131,131,10.0,0.8920000195503235,"politik, punya, partai, apa, tahun, amerika, ilmu, rakyat, pesimis, jadi",harga emas masa selamat nilai bencana politik info,negative
132,132,3.0,0.939300000667572,"politik, jadi, baru, ketua, omong, jg, udh, sbg, blm, lembaga",sedang tular media sosial klip ucap ahli parlimen seputeh yb esa kok dakwa pihak polis,negative
133,133,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
134,134,13.0,0.939300000667572,"n, gera, dukung, klo, kuat, besar, moga, makin, byk, patut",klo betul gera patut dukung n moga gera makin besar n kuat byk saudara2 kt,negative
135,135,27.0,0.4253000020980835,"politik, agama, tipu, daya, guna, ajar, bukan, juang, selamat, rakyat",ajar politik kalang tingkat tinggi islam politik istilah arab siyasah orang ajar agama mungkin ajar politik ulama melarag tuntut ilmu mula bahas politik,negative
136,136,11.0,0.8970000147819519,"politik, jadi, rusia, paling, tahun, pimpin, mau, semua, si, agama",kalo soal suku gw emang benci becandain mana tbh tp bener2 lebih bahas soal politik sad,negative
137,137,29.0,0.9429000020027161,"buat, kata, makin, tinggi, sbb, bagai, kes, of, sop, uni",uni cancel buat majlis konvo kata sbb kes makin tinggi despite of preventable measure sop bagai,negative
138,138,19.0,0.9028000235557556,"politik, tunda, milu, tak, rakyat, elite, alas, hak, rampas, kalau",kampa setop perang nya formalitas hilang simpati publik kirim senjata penting politik,positive
139,139,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
140,140,11.0,0.48500001430511475,"politik, jadi, rusia, paling, tahun, pimpin, mau, semua, si, agama",males bgt dah kalo agama udah ikut campur urus politik gin,negative
141,141,24.0,0.38679999113082886,"erick, menteri, jokowi, thohir, satu, muda, bumn, politik, nu, rakyat",bagaimana kans prabowo,negative
142,142,26.0,0.902899980545044,"politik, baru, rakyat, johor, nak, dah, lebih, jadi, aku, indonesia",mas ajar penting ambil indonesia dlm konflik rusia jgn,positive
143,143,20.0,0.45739999413490295,"ni, besi, politik, milu, bila, indonesia, tunda, awal, macam, kuat",tunduk konstitusi lin bukan putus politik putus politik byk,negative
144,144,9.0,0.4699000120162964,"politik, buat, bumn, jadi, si, utk, jgn, sehat, pd, main",neng gw dnger berita dtg ahmad dhani dewa comeback ello sbg vocalist nya sumpah bahagia dngr brita musik pakde dhani drpd jgn ampe balik lg kdunia ribet politik,negative
145,145,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
146,146,11.0,0.8970999717712402,"politik, jadi, rusia, paling, tahun, pimpin, mau, semua, si, agama",kalo soal suku gw emang benci becandain mana tbh tp bener2 lebih bahas soal politik sad,negative
147,147,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
148,148,22.0,0.2874999940395355,"politik, sepakbola, pkb, sama, tak, kab, bawa, ga, rusia, pernah",kata sepakbola jgn ikut2an politik klo alas manusia knapa israel boikot,positive
149,149,2.0,0.9190000295639038,"politik, cari, kalau, tukar, ideologi, pasang, level, in, sembang, ajak",bahas hari gimana diskusi kasus politik opini isi kitab nyambat kampus wkwkwk,negative
150,150,33.0,0.6729999780654907,"politik, milu, tunda, ketua, masuk, akal, pbnu, sayang, presiden, jadi",sangat kecewa sekali sikap politik pan,positive
151,151,26.0,0.902899980545044,"politik, baru, rakyat, johor, nak, dah, lebih, jadi, aku, indonesia",mas ajar penting ambil indonesia dlm konflik rusia jgn,positive
152,152,20.0,0.8057000041007996,"ni, besi, politik, milu, bila, indonesia, tunda, awal, macam, kuat",libat tunduk putus politik,negative
153,153,10.0,0.5389999747276306,"politik, punya, partai, apa, tahun, amerika, ilmu, rakyat, pesimis, jadi",kalau bener ga libat harus suara dong utk henti gaduh jangan diem aja dukung tambah si bilang jokowi tunduk putus politik negarawan rawan kongkalingkong,negative
154,154,1.0,0.942799985408783,"politik, milik, bukan, seni, kerja, putus, mampu, industri, negara, terorisme",anyak ahli politik dada kolom emang orang indo ahli virus ganas ahli politik cuman hitung detik wkwkkwk,negative
155,155,3.0,0.4982999861240387,"politik, jadi, baru, ketua, omong, jg, udh, sbg, blm, lembaga",kritik gus yahya negasi ucap libat politik,positive
